Estadistica,Valor
n,8519
centralidad_Media,0.16833717419507016
centralidad_Mediana,0.1743
centralidad_Desvio_Std,0.03940722045098201
centralidad_IQR,0.054150000000000004
centralidad_Min,0.0172
centralidad_Max,0.2522
complejidad_producto_Media,-0.08527372331642882
complejidad_producto_Mediana,0.0497
complejidad_producto_Desvio_Std,0.9714231037879221
complejidad_producto_IQR,1.4384000000000001
complejidad_producto_Min,-3.8525
complejidad_producto_Max,2.6269
complejidad_provincia_Media,-0.362355589217497
complejidad_provincia_Mediana,-0.33486644237836
complejidad_provincia_Desvio_Std,0.31022827432697503
complejidad_provincia_IQR,0.19610410537015302
complejidad_provincia_Min,-1.33322010159316
complejidad_provincia_Max,0.0878689687339134
n_Media,8519
n_Mediana,8519
n_Desvio_Std,NA
n_IQR,0
n_Min,8519
n_Max,8519
