.y.,group1,group2,estimate,conf.low,conf.high,p.adj,p.adj.signif
centralidad,"agro, alimentos y bebidas",electronica,0.02394818328607118,0.01789831634976751,0.029998050222374846,4.41e-10,****
centralidad,"agro, alimentos y bebidas",maquinaria,0.037668669977709124,0.03395987746910805,0.0413774624863102,0,****
centralidad,"agro, alimentos y bebidas",metales,0.03432170308997129,0.029975744282038724,0.038667661897903854,6.9e-13,****
centralidad,"agro, alimentos y bebidas",min no metal y met preciosos,0.02787782378110415,0.020465335466156646,0.03529031209605165,1.08e-12,****
centralidad,"agro, alimentos y bebidas",minerales y combustible,-0.016993657106970927,-0.025820883687154808,-0.008166430526787047,2.29e-7,****
centralidad,"agro, alimentos y bebidas",quimicos,0.0245816768513136,0.020784225595383794,0.028379128107243405,0,****
centralidad,"agro, alimentos y bebidas",textiles,0.0131286655295354,0.00925745766713512,0.01699987339193568,3.23e-11,****
centralidad,"agro, alimentos y bebidas",vehiculos,0.042523859232898364,0.03489724635381985,0.05015047211197688,0,****
centralidad,electronica,maquinaria,0.013720486691637945,0.007410814934471323,0.02003015844880457,0,****
centralidad,electronica,metales,0.01037351980390011,0.003672728229712152,0.01707431137808807,6.12e-5,****
centralidad,electronica,min no metal y met preciosos,0.003929640495032971,-0.005050517203511434,0.012909798193577376,0.911,ns
centralidad,electronica,minerales y combustible,-0.040941840393042106,-0.051113872667950463,-0.030769808118133745,0,****
centralidad,electronica,quimicos,6.334935652424212e-4,-0.005728398722082061,0.006995385852566903,1,ns
centralidad,electronica,textiles,-0.01081951775653578,-0.017225051173037173,-0.0044139843400343845,6.89e-6,****
centralidad,electronica,vehiculos,0.018575675946827186,0.009424693387522862,0.02772665850613151,2.35e-8,****
centralidad,maquinaria,metales,-0.0033469668877378345,-0.00804980729366325,0.0013558735181875819,0.399,ns
centralidad,maquinaria,min no metal y met preciosos,-0.009790846196604974,-0.017415340292304068,-0.00216635210090588,0.002,**
centralidad,maquinaria,minerales y combustible,-0.05466232708468005,-0.06366736543787063,-0.04565728873148947,7.75e-14,****
centralidad,maquinaria,quimicos,-0.013086993126395524,-0.017288863448779418,-0.00888512280401163,0,****
centralidad,maquinaria,textiles,-0.024540004448173725,-0.028808449806447957,-0.020271559089899492,0,****
centralidad,maquinaria,vehiculos,0.004855189255189241,-0.0029763419070459787,0.01268672041742446,0.586,ns
centralidad,metales,min no metal y met preciosos,-0.00644387930886714,-0.014392850305243178,0.0015050916875088988,0.222,ns
centralidad,metales,minerales y combustible,-0.05131536019694222,-0.06059521913651669,-0.04203550125736774,7.47e-13,****
centralidad,metales,quimicos,-0.00974002623865769,-0.014513004802957046,-0.0049670476743583335,1.05e-8,****
centralidad,metales,textiles,-0.02119303756043589,-0.026024518633943096,-0.016361556486928684,2.15e-11,****
centralidad,metales,vehiculos,0.008202156142927075,5.613215137325288e-5,0.016348180134480896,0.047,*
centralidad,min no metal y met preciosos,minerales y combustible,-0.04487148088807508,-0.05588981832596307,-0.033853143450187084,0,****
centralidad,min no metal y met preciosos,quimicos,-0.00329614692979055,-0.010963628201957652,0.004371334342376552,0.918,ns
centralidad,min no metal y met preciosos,textiles,-0.01474915825156875,-0.022452593628285965,-0.007045722874851537,1.97e-7,****
centralidad,min no metal y met preciosos,vehiculos,0.014646035451794215,0.004559525183239889,0.02473254572034854,2.66e-4,***
centralidad,minerales y combustible,quimicos,0.04157533395828453,0.03253405734469157,0.05061661057187748,1.03e-13,****
centralidad,minerales y combustible,textiles,0.030122322636506327,0.021050724068709753,0.0391939212043029,1.76e-13,****
centralidad,minerales y combustible,vehiculos,0.05951751633986929,0.048364238854890856,0.07067079382484773,0,****
centralidad,quimicos,textiles,-0.0114530113217782,-0.015798660076150245,-0.007107362567406154,0,****
centralidad,quimicos,vehiculos,0.017942182381584765,0.01006904257472012,0.02581532218844941,3.92e-10,****
centralidad,textiles,vehiculos,0.029395193703362965,0.02148724343214943,0.0373031439745765,4.66e-14,****
